Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,right,pick,-0.001141667,-0.0004072189,0.0004535317,-0.02523745,-7.867813E-05,0.006683648,-0.02823223,-0.005938351,0.01828179,-0.02633929,0.000232935,0.02379936,-0.0571352,0.05088252,0.02676296,-0.02742876,-0.009482682,0.02729788,-0.005829021,-0.02148724,0.01249596,-0.03912578,0.05774128,0.04016221,-0.03315284,0.007899106,0.02953017,-0.02040631,-0.004527986,0.02001622,-0.02214685,0.05280757,0.0529955,-0.02204057,0.02529955,0.02350125,-0.01929677,0.006103039,0.01922637,-0.005073123,0.04255986,0.06440365,-0.006276198,0.02534139,0.01897076,-0.01111649,0.005262375,0.0174357,0.03109428,-0.04741687,-0.02909541,-0.01228534,-0.02424055,-0.01563153,-0.0280912,-0.01246673,-0.006804377,-0.0328381,0.01020586,-0.006877661,0.01058401,-0.02569669,-0.01779202,0.002291948,-0.0411998,-0.02315179,-0.02920075,-0.02309775,-0.006014526,-0.04101837,0.01104653,-0.005086988,108.3502,71.64983,54.58319,125.4168,140.6773,39.32267,41.26274,138.7373,59.82476
1,right,pick,-0.0011563,-0.0004208684,0.000449568,-0.02504501,0.0003800988,0.007362664,-0.02781465,-0.004899383,0.01920646,-0.02558032,0.001501918,0.02456856,-0.056508,0.05248737,0.02493277,-0.02705383,-0.01042235,0.02732942,-0.00513351,-0.02179456,0.01226681,-0.0385162,0.05936205,0.03834748,-0.03345447,0.007020593,0.0294117,-0.02038833,-0.005205393,0.0198693,-0.02175329,0.05445337,0.05147105,-0.02200404,0.02607393,0.02267447,-0.01947072,0.006667256,0.01886019,-0.004973479,0.04419667,0.06329951,-0.005997714,0.02597803,0.0181835,-0.01119103,0.005968213,0.01715845,0.03070217,-0.04658431,-0.02569306,-0.01159117,-0.02431762,-0.015497,-0.02821334,-0.01414466,-0.00638634,-0.03278613,0.01035261,-0.007337481,0.01025537,-0.02328783,-0.01339132,0.003663659,-0.04090679,-0.02309948,-0.02913096,-0.02601731,-0.005377233,-0.04106583,0.01105165,-0.005635738,108.6386,71.36142,56.2771,123.7229,141.8045,38.19553,39.83631,140.1637,59.74841
2,right,pick,-0.0005849525,-0.001224756,0.0007228553,-0.0250841,0.001035035,0.007164001,-0.02807374,-0.003837347,0.0190706,-0.02566258,0.002664566,0.02438349,-0.05566873,0.05413944,0.02322996,-0.02749235,-0.009508669,0.02722475,-0.005626135,-0.02146494,0.01262671,-0.03767825,0.06092608,0.03669125,-0.03371166,0.007476568,0.02900282,-0.02059844,-0.004981816,0.01970929,-0.02115605,0.0559532,0.05009297,-0.02200748,0.02661794,0.02203,-0.01965324,0.007062793,0.01852381,-0.00471377,0.04560709,0.06231114,-0.005644754,0.02650905,0.01751781,-0.01124284,0.006603837,0.0168896,0.03000324,-0.04743308,-0.02422011,-0.01177117,-0.02377188,-0.01523936,-0.02822638,-0.0141685,-0.006428897,-0.03280501,0.01045501,-0.007705986,0.009966798,-0.02330357,-0.01246333,0.003201135,-0.04025501,-0.02232194,-0.02917158,-0.02621311,-0.005243421,-0.04121541,0.01091397,-0.006071776,108.6831,71.31687,57.92261,122.0774,142.7443,37.25566,38.33044,141.6696,59.59587
3,right,pick,-0.0003221631,-0.0007296205,0.0005249679,-0.0251053,0.00123775,0.007056773,-0.02820748,-0.003500044,0.01893771,-0.02571566,0.003015339,0.02428654,-0.0553824,0.05461317,0.02280149,-0.0277274,-0.009308219,0.02705514,-0.005893886,-0.02136362,0.01267633,-0.03741594,0.06129211,0.0363484,-0.03389515,0.007591903,0.02875793,-0.02074029,-0.004970431,0.01956287,-0.02100711,0.05622298,0.04985297,-0.02224139,0.02644217,0.02200669,-0.01982851,0.006837249,0.01842138,-0.004712611,0.04577881,0.06218517,-0.005544879,0.02661788,0.01738417,-0.01129194,0.006761432,0.01679426,0.02979703,-0.04756725,-0.02386215,-0.01179872,-0.02357906,-0.0152497,-0.02806259,-0.01378113,-0.006753325,-0.03299101,0.01026845,-0.007709682,0.009975247,-0.02318829,-0.01225194,0.00304769,-0.03997225,-0.02213624,-0.02897437,-0.02558881,-0.005611837,-0.04152758,0.01034427,-0.006082565,108.5057,71.49435,58.31812,121.6819,142.8408,37.1592,37.85467,142.1453,59.41868
4,right,pick,-0.0001320913,-0.0006279945,0.0003786087,-0.02512281,0.001402855,0.006962985,-0.02831903,-0.003220081,0.01882049,-0.02576406,0.003305614,0.02419731,-0.05515327,0.05499828,0.02242833,-0.02792807,-0.009159148,0.02689916,-0.006135836,-0.02126414,0.01272866,-0.03721263,0.06159037,0.03605178,-0.03406471,0.007642269,0.02854347,-0.02085984,-0.004990637,0.01943013,-0.02090247,0.05644435,0.04964647,-0.02246746,0.02627295,0.02197972,-0.01998999,0.006620288,0.01832587,-0.004734296,0.04592192,0.062078,-0.005476087,0.02671134,0.0172621,-0.01134035,0.006898642,0.0167056,0.0296395,-0.04765636,-0.02354401,-0.011804,-0.02339351,-0.01526776,-0.02790742,-0.01348466,-0.007030934,-0.03315954,0.01008403,-0.007713914,0.01001129,-0.02308661,-0.01207536,0.002920009,-0.03966701,-0.02196923,-0.02877727,-0.02509558,-0.005926669,-0.04180918,0.009805679,-0.006093651,108.351,71.64896,58.66777,121.3322,142.9258,37.07417,37.43665,142.5634,59.27179
5,right,pick,6.878376E-05,-0.0005162954,0.0002201796,-0.02514361,0.001555443,0.006854594,-0.02843395,-0.002972007,0.01868758,-0.02583288,0.003557622,0.02408791,-0.05494804,0.05534852,0.02206737,-0.02813266,-0.00902009,0.02673241,-0.00639569,-0.02115446,0.01278326,-0.03703978,0.06185597,0.0357739,-0.03423395,0.007680774,0.02832982,-0.02098085,-0.005007923,0.01929495,-0.02082989,0.05663484,0.04945961,-0.0225944,0.02626336,0.02186072,-0.02012441,0.006546974,0.01820469,-0.004787184,0.0460366,0.06198886,-0.005427223,0.02679628,0.0171456,-0.01139559,0.007029057,0.01661333,0.02950314,-0.04774499,-0.02325761,-0.01180696,-0.02320832,-0.01530394,-0.02784944,-0.01336145,-0.007216603,-0.03320988,0.01006532,-0.007814139,0.01006596,-0.0230329,-0.01195297,0.002778195,-0.03935486,-0.02181563,-0.02870589,-0.02491635,-0.006126344,-0.0419387,0.009583235,-0.006222785,108.2194,71.7806,58.97789,121.0221,142.9641,37.03593,37.07015,142.9299,59.08023
6,right,pick,0.0001830831,-0.0003285408,0.0001966953,-0.02514806,0.001597106,0.006828636,-0.02847285,-0.002872884,0.0186438,-0.02584122,0.003661633,0.02406338,-0.05488797,0.05544305,0.02197957,-0.02821019,-0.008980691,0.02666393,-0.006532758,-0.02107924,0.01283807,-0.0369884,0.06192356,0.03571019,-0.03431538,0.007593811,0.02825466,-0.02100823,-0.00511229,0.0192377,-0.02080644,0.05667835,0.0494197,-0.02272181,0.0261634,0.02184844,-0.02020825,0.006391764,0.01816693,-0.004798919,0.04605603,0.06197357,-0.005424056,0.0268445,0.0170711,-0.0114222,0.007092834,0.01656792,0.02947725,-0.04773813,-0.02317107,-0.01179438,-0.02305502,-0.01532134,-0.02777552,-0.01332438,-0.007303298,-0.03330528,0.00994122,-0.007776529,0.01016878,-0.02299726,-0.01194575,0.002681091,-0.03902197,-0.02172098,-0.02857549,-0.02482843,-0.00623253,-0.04209133,0.00924015,-0.006177515,108.1639,71.83606,59.08002,120.92,142.9887,37.01126,36.9422,143.0578,59.04619
7,right,pick,0.00032226,-0.0001505613,0.0001284182,-0.02515091,0.001636386,0.006808847,-0.02850373,-0.002784073,0.01861009,-0.0258504,0.003752887,0.02403948,-0.05482734,0.05553275,0.0219042,-0.02827635,-0.008935571,0.02660897,-0.006662056,-0.02100402,0.01289502,-0.03693271,0.0619902,0.0356521,-0.0343829,0.007509172,0.02819517,-0.02102508,-0.005219102,0.01919058,-0.02077348,0.05672449,0.04938057,-0.02283669,0.02606958,0.02184096,-0.02028291,0.006239653,0.01813656,-0.004795574,0.04608166,0.06195477,-0.005420607,0.02689445,0.01699331,-0.01144677,0.007155299,0.01652405,0.02944906,-0.04774487,-0.02309424,-0.01178809,-0.02290219,-0.0153341,-0.02770545,-0.0132947,-0.007374257,-0.03339399,0.009817958,-0.00772655,0.01026072,-0.02298796,-0.01194978,0.002574943,-0.03868711,-0.02162966,-0.02844762,-0.02475345,-0.006320238,-0.04223012,0.008902311,-0.006114036,108.0679,71.93205,59.19126,120.8087,142.9984,37.00165,36.78104,143.219,58.99458
8,right,pick,0.0004647374,3.784895E-05,5.826354E-05,-0.0251545,0.001693606,0.006781489,-0.02853889,-0.002680779,0.01857126,-0.02587041,0.00385493,0.02400175,-0.05473461,0.05566251,0.02180645,-0.02835213,-0.008856893,0.02655455,-0.006804265,-0.02092326,0.01295176,-0.03684328,0.06208855,0.03557333,-0.03444481,0.007461131,0.02813226,-0.02104519,-0.005309939,0.01914352,-0.02071263,0.05679524,0.04932478,-0.02292906,0.02600312,0.02182326,-0.02035277,0.006109238,0.01810268,-0.004773483,0.04612458,0.06192455,-0.005404122,0.02695262,0.01690605,-0.01147208,0.007227302,0.01647508,0.02939335,-0.04779279,-0.02300826,-0.01179864,-0.02274406,-0.01534459,-0.0276464,-0.01324868,-0.007442445,-0.03346409,0.00972116,-0.007682562,0.0103272,-0.02301461,-0.01195827,0.002442278,-0.03835738,-0.02153635,-0.02833882,-0.02466786,-0.006401598,-0.04234478,0.008603096,-0.006054968,107.962,72.03802,59.30609,120.6939,143.0086,36.99142,36.61068,143.3893,58.94592
9,right,pick,0.0004073903,3.916025E-05,0.0001689196,-0.02515677,0.001731873,0.006763399,-0.02856492,-0.002605677,0.01854193,-0.02588788,0.003926933,0.0239712,-0.05466858,0.05574727,0.02175558,-0.02840703,-0.008802474,0.02651396,-0.006919436,-0.02085572,0.01299962,-0.036778,0.06214941,0.03553459,-0.0344927,0.007390082,0.02809232,-0.02105064,-0.005416811,0.01910758,-0.0206654,0.05683482,0.04929897,-0.02301494,0.02592921,0.02182084,-0.02041362,0.005967736,0.01808131,-0.004751395,0.04614294,0.06191254,-0.00538893,0.02700269,0.01683092,-0.01149352,0.007280827,0.01643658,0.02935392,-0.0478186,-0.02296421,-0.01180491,-0.02259469,-0.01535738,-0.02759036,-0.01322454,-0.0074929,-0.03354002,0.009618402,-0.007623643,0.01038548,-0.02303594,-0.01199263,0.002326295,-0.0380336,-0.02146533,-0.02822737,-0.02460909,-0.006466627,-0.04246012,0.008305311,-0.005978912,107.8798,72.12023,59.37458,120.6254,143.0076,36.99236,36.49758,143.5024,58.91313
