Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,right,idle,0.0002948642,0.001135886,0.0006122589,-0.02173534,0.01008725,0.01184717,-0.02286146,0.0171327,0.02016753,-0.01528476,0.0222196,0.02436739,-0.02331629,0.07082796,0.036426,-0.01395726,0.02641833,0.02777385,-0.00962472,0.01083314,0.02175608,0.0004763454,0.07234967,0.03944778,-0.01207942,0.02506244,0.03684755,-0.008410245,0.012344,0.02559151,0.01992372,0.06285274,0.04510342,-0.005671859,0.02916706,0.02960306,-0.005930215,0.01572776,0.02311677,0.0373489,0.04809833,0.05065224,0.0009541661,0.02569032,0.0207576,-0.001795769,0.01198804,0.01817492,-0.007323243,-0.07002634,-0.03218515,-0.02567048,-0.0001658201,-0.01209548,-0.02585493,0.005392313,0.001588851,-0.0240512,0.01823115,0.003296643,-0.01298328,-0.05863988,-0.02957384,-0.02688496,-0.001676679,-0.01593091,-0.02833496,0.002008557,0.004063591,-0.02818565,0.02197087,0.008238494,94.00996,85.99004,57.37875,122.6213,136.7067,43.29332,32.92904,147.071,57.30717
1,right,idle,0.001319826,0.001235664,0.000382483,-0.0218261,0.009295106,0.01231892,-0.02300233,0.01628989,0.02069874,-0.01549296,0.02151173,0.02486593,-0.02476893,0.06959462,0.03781772,-0.01442841,0.02478719,0.02900928,-0.009635791,0.009587169,0.02232841,-0.0009894967,0.07172525,0.04056267,-0.01234646,0.02402699,0.03744394,-0.008465871,0.0115248,0.02595267,0.0187825,0.06268281,0.04582381,-0.00615783,0.02851516,0.03013638,-0.006135955,0.01510835,0.02347334,0.03667568,0.04833138,0.0509216,0.0005067438,0.02542555,0.02109653,-0.001948431,0.01161659,0.018399,-0.005631089,-0.06879681,-0.03380933,-0.02586138,-0.00137043,-0.01117961,-0.02596062,0.004554272,0.002046421,-0.02455775,0.01744103,0.003942057,-0.01148826,-0.05687225,-0.03127182,-0.0270313,-0.003308058,-0.01480387,-0.02829054,0.0009707212,0.004525751,-0.02874528,0.02093279,0.009016395,95.24413,84.75588,56.19492,123.8051,136.9342,43.06582,34.32084,145.6792,58.1739
2,right,idle,0.002668381,0.001755953,0.0003327131,-0.0220235,0.007390559,0.01322419,-0.02340487,0.01410997,0.02181805,-0.01610085,0.01967514,0.02597608,-0.02830034,0.06648678,0.04081304,-0.01533026,0.0206629,0.03165673,-0.009512328,0.006571651,0.02344461,-0.004649177,0.07010239,0.04306818,-0.0129938,0.02170086,0.03862662,-0.008579537,0.009792089,0.02661841,0.01580396,0.06222504,0.04753965,-0.00732331,0.02694643,0.03129686,-0.006594211,0.01371503,0.02419354,0.03472763,0.04893392,0.05170597,-0.0006632358,0.02469087,0.02194768,-0.002316117,0.01075208,0.01887576,-0.001797765,-0.06564915,-0.03742753,-0.02598763,-0.004653573,-0.009225026,-0.02612363,0.002631783,0.002858281,-0.02558374,0.01554668,0.005182862,-0.008386284,-0.05254567,-0.03489606,-0.02692042,-0.007874012,-0.01239882,-0.02810895,-0.001291156,0.005283147,-0.02986184,0.01850963,0.01050064,98.25104,81.74896,53.70488,126.2951,137.2466,42.75337,37.52392,142.4761,59.88458
3,right,idle,0.007082209,0.003474772,2.43187E-05,-0.02250901,0.004870594,0.01357044,-0.02441406,0.01112759,0.02242842,-0.01754436,0.01708883,0.02685653,-0.03375986,0.06188464,0.04379116,-0.0169114,0.01695949,0.03302273,-0.009879276,0.003969789,0.02387387,-0.01049446,0.06736094,0.04629468,-0.01477921,0.01848292,0.03964513,-0.009368792,0.007464051,0.02710253,0.01055001,0.06102508,0.05046171,-0.009608999,0.0246284,0.03256285,-0.007780761,0.01174212,0.02486955,0.03052466,0.04918653,0.05406456,-0.002772331,0.02346706,0.02309531,-0.003440395,0.009181023,0.01952277,0.003748193,-0.06284595,-0.04081503,-0.0253976,-0.006999731,-0.009125918,-0.02621467,0.0001903772,0.002915248,-0.02681132,0.01299989,0.005864695,-0.003916889,-0.0497269,-0.03783236,-0.02590808,-0.01049399,-0.01235458,-0.02780271,-0.004087687,0.005148232,-0.03115168,0.01556098,0.01121147,102.032,77.96801,50.39866,129.6013,136.2119,43.7881,42.11816,137.8818,60.12814
4,right,idle,0.008825198,0.004551709,5.292892E-05,-0.02284205,0.003059506,0.01354306,-0.02517736,0.00897038,0.0225508,-0.01865858,0.01518518,0.0272465,-0.03781725,0.05828375,0.04538683,-0.01813398,0.01437438,0.03359549,-0.01022045,0.002166629,0.02396181,-0.01494467,0.06503659,0.04835007,-0.01626255,0.01602077,0.04013282,-0.01005702,0.005655408,0.02729298,0.006395578,0.05981761,0.05256126,-0.01143926,0.02278447,0.03330533,-0.008773267,0.01016712,0.02523033,0.02700043,0.04906452,0.05601508,-0.004442841,0.02243823,0.02384466,-0.004567742,0.007388234,0.02004533,0.007931828,-0.06062824,-0.04288846,-0.02474402,-0.008399248,-0.009500578,-0.02616353,-0.001544714,0.002616301,-0.02760127,0.01109934,0.006006852,-0.0005063042,-0.04760969,-0.03960377,-0.02490745,-0.01188803,-0.01283175,-0.02744728,-0.006056428,0.00467895,-0.0318068,0.01387823,0.01119186,104.7237,75.27633,48.15057,131.8494,135.1499,44.85009,45.5569,134.4431,59.65995
5,right,idle,0.008390799,0.004522562,6.836653E-05,-0.02312553,0.001527965,0.01331953,-0.02586882,0.007119894,0.02242801,-0.01968247,0.01352608,0.02739979,-0.04138069,0.05503601,0.04632254,-0.01928067,0.01230663,0.03377758,-0.01059575,0.0007168055,0.02388589,-0.01892166,0.06281912,0.04986545,-0.01766482,0.01383257,0.04035333,-0.01070772,0.00390625,0.02735177,0.002582043,0.05853879,0.05429809,-0.01312567,0.02108514,0.03379892,-0.009707421,0.008711815,0.0254319,0.02363823,0.04871869,0.05780803,-0.005971983,0.021451,0.02441253,-0.005467951,0.005956173,0.02029508,0.01166701,-0.05869478,-0.04435258,-0.02407488,-0.009309053,-0.01011866,-0.02604285,-0.002972245,0.002121776,-0.02820988,0.00945425,0.005876452,0.002580293,-0.0458855,-0.04083867,-0.02396291,-0.0124985,-0.01358454,-0.02704315,-0.00777781,0.004041642,-0.03244935,0.01220989,0.01101327,106.8885,73.11147,46.25969,133.7403,134.021,45.97906,48.58563,131.4144,58.81003
6,right,idle,0.00412029,0.001482606,-1.251698E-06,-0.02332856,0.0009541512,0.01301546,-0.02629949,0.006429255,0.02213381,-0.02026531,0.01288259,0.02728479,-0.04310378,0.05372763,0.04628723,-0.02000968,0.01139188,0.03367428,-0.01093586,-4.768372E-06,0.02374293,-0.02084331,0.06182826,0.05033546,-0.01859449,0.01281893,0.04027033,-0.01121876,0.00308013,0.02725224,0.0006461143,0.05784059,0.05509799,-0.01410222,0.02027857,0.03389901,-0.0103301,0.007949233,0.02543636,0.02179635,0.04831946,0.05885739,-0.006798223,0.02097034,0.02461313,-0.00598453,0.005431414,0.02029657,0.01348542,-0.0577361,-0.04481225,-0.02367567,-0.009527683,-0.01064427,-0.02598169,-0.003471971,0.001608789,-0.02845423,0.008829355,0.005526483,0.004155964,-0.04484874,-0.04127039,-0.02339277,-0.01261258,-0.01415358,-0.02687036,-0.008341074,0.003424674,-0.0327998,0.01134717,0.01066627,107.4475,72.55253,45.29334,134.7067,133.1223,46.87767,49.88107,130.1189,57.74553
7,right,idle,0.002740219,0.000903368,4.035234E-05,-0.02343333,0.0005794168,0.01284824,-0.02653897,0.005977631,0.021974,-0.02059455,0.01246381,0.02723272,-0.04420169,0.05287105,0.04623817,-0.02044885,0.01077884,0.03361225,-0.01112083,-0.0005242825,0.02365106,-0.02207625,0.06116772,0.050616,-0.01918086,0.01211572,0.04021296,-0.01152906,0.002473474,0.02718449,-0.0006028116,0.05736315,0.05559541,-0.01473761,0.01971185,0.03396291,-0.01073459,0.007373095,0.02544242,0.02060136,0.04803067,0.05952042,-0.007338107,0.02063876,0.02473812,-0.006331325,0.005034685,0.02029364,0.01467824,-0.05709285,-0.04502818,-0.02339342,-0.009633541,-0.01097853,-0.0259167,-0.003791571,0.001270637,-0.02860367,0.008405566,0.005299777,0.005204521,-0.04410475,-0.04144652,-0.0229852,-0.0126313,-0.01451196,-0.02671117,-0.008691192,0.003012702,-0.03300694,0.01074398,0.01044856,107.7374,72.26257,44.67192,135.3281,132.5163,47.48369,50.68319,129.3168,56.9968
8,right,idle,0.001752779,0.0004684925,6.204844E-05,-0.02346116,0.0004664063,0.01280195,-0.0266059,0.005842328,0.0219294,-0.02067919,0.01234108,0.02722447,-0.04461652,0.05262285,0.04612269,-0.02062134,0.01056373,0.0335751,-0.01119199,-0.0007770061,0.0236105,-0.02253853,0.06095606,0.05066755,-0.01945041,0.01181841,0.04017195,-0.01167463,0.002153635,0.02714957,-0.001088515,0.05718464,0.05577159,-0.01503132,0.01946735,0.03397521,-0.01094064,0.007048368,0.02544665,0.02011168,0.04788816,0.05980204,-0.007571265,0.02051145,0.02477372,-0.00652127,0.004815698,0.02028663,0.0151708,-0.05687785,-0.04496644,-0.02324893,-0.009587884,-0.01114172,-0.0258691,-0.003877521,0.001092702,-0.02866025,0.008252382,0.005171046,0.005683601,-0.04375976,-0.04135248,-0.02276629,-0.01251853,-0.01468079,-0.02660309,-0.008772254,0.002795622,-0.03307962,0.01048505,0.01033106,107.7078,72.29218,44.46087,135.5391,132.2325,47.76748,50.88103,129.119,56.57741
9,right,idle,0.0007760525,4.947186E-06,-0.0002540946,-0.02341144,0.0005708337,0.01288846,-0.02650759,0.005996644,0.02200662,-0.02052994,0.01249266,0.02726828,-0.0443894,0.05288959,0.04603667,-0.02053735,0.01070297,0.03358249,-0.01114696,-0.0007710457,0.02363198,-0.0222764,0.06114089,0.05056068,-0.01940355,0.01190233,0.04016981,-0.01164722,0.00210166,0.02716538,-0.000840649,0.05729127,0.05566631,-0.0149876,0.01952887,0.0339592,-0.01094033,0.006978512,0.0254661,0.02032243,0.04791576,0.0597086,-0.007521346,0.02056962,0.02474061,-0.006548211,0.004769683,0.02028883,0.01500772,-0.05702507,-0.04472408,-0.02324679,-0.009450674,-0.01111132,-0.0258517,-0.003776908,0.001104981,-0.02862933,0.008334756,0.005176291,0.005624734,-0.04376137,-0.04108778,-0.02274653,-0.01232338,-0.01464473,-0.02655859,-0.00865376,0.002804264,-0.03302145,0.01054358,0.01035357,107.4337,72.56625,44.53713,135.4629,132.1979,47.80207,50.64222,129.3578,56.5072
