Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,left,prune,-0.0003089309,-6.747246E-05,0.0001063943,-0.009253889,0.0142054,0.01985391,-0.01277468,0.007673621,0.03073224,-0.02675244,-0.01162761,0.02023192,-0.06695321,0.04041135,0.02130518,-0.0344317,0.01770049,0.009411782,-0.02200991,0.01063108,0.007373959,-0.07670915,0.02116627,0.01206568,-0.04236832,0.003498137,0.01504097,-0.02656129,0.001458347,0.01139916,-0.07737643,-0.0005742908,0.01001039,-0.01799554,-0.006300211,0.03625783,0.02455544,-0.001734614,0.01316395,-0.07311028,-0.02312231,0.0102547,0.0009745061,-0.001847506,0.03220413,0.0200218,0.002887011,0.006787255,0.07935634,-0.03623283,0.01986919,0.01769257,0.03344744,0.003610313,-0.02370551,0.0315389,-0.01916157,-0.02323619,0.01809531,0.003809392,0.07461381,-0.05849153,0.03272715,0.02224395,0.04262018,-0.000414893,-0.07482225,0.03473186,-0.02092636,-0.01870254,0.01347369,0.01018609,42.39862,137.6014,72.10493,107.8951,113.162,66.83795,53.11565,126.8844,61.59121
1,left,prune,-4.008412E-05,-0.0003373623,3.315508E-05,-0.009280175,0.01419371,0.01985002,-0.01283553,0.007670879,0.03070758,-0.02680609,-0.01166111,0.02014138,-0.06697494,0.04041392,0.02123192,-0.03448015,0.01764739,0.009333909,-0.02204746,0.01060146,0.007303923,-0.076722,0.02118111,0.01195746,-0.04237431,0.003418744,0.01504221,-0.02658775,0.001423061,0.0113418,-0.07739329,-0.0005571842,0.009880029,-0.01791272,-0.006367147,0.03628714,0.02461353,-0.001718402,0.01305708,-0.07313532,-0.02310693,0.01010968,0.001064211,-0.001873612,0.03219976,0.02004087,0.002901256,0.006724447,0.07933939,-0.03619671,0.01999177,0.01764122,0.03346145,0.003566161,-0.0237903,0.03152418,-0.0191675,-0.0232349,0.01805621,0.003857732,0.07458076,-0.05845928,0.03282923,0.02218151,0.04263985,-0.0004717112,-0.07499158,0.03466564,-0.02088279,-0.01866224,0.01343656,0.01019037,42.43176,137.5683,72.10201,107.898,113.2777,66.72225,53.08307,126.9169,61.62697
2,left,prune,0.0001614392,-0.0004271865,-0.0001005381,-0.0093344,0.01409006,0.01989837,-0.01294482,0.007529199,0.03069675,-0.02689245,-0.01177555,0.01995885,-0.06702061,0.0403313,0.02124479,-0.03455299,0.01751846,0.009307384,-0.0221009,0.01051545,0.007266685,-0.07674833,0.0211553,0.01183353,-0.04239759,0.003265023,0.01501077,-0.02662471,0.001330853,0.01126602,-0.07742424,-0.0005708337,0.00963378,-0.01788759,-0.006597221,0.03625838,0.02465233,-0.001764059,0.01297764,-0.07317857,-0.02312374,0.00975205,0.001095653,-0.002046883,0.03218815,0.02004969,0.002880216,0.006707147,0.07929438,-0.0362305,0.02004294,0.01757231,0.03342944,0.003707886,-0.02383408,0.03158838,-0.01904787,-0.02322891,0.01800257,0.003951967,0.07450283,-0.05852151,0.03273511,0.02209613,0.04261404,-0.0002914518,-0.07511112,0.03468329,-0.02075949,-0.01862627,0.01335829,0.01022246,42.58316,137.4169,71.76476,108.2353,113.5082,66.49176,53.1331,126.8669,61.87507
3,left,prune,0.0003774166,-0.0005230308,-0.0002445728,-0.009428158,0.01380229,0.02005523,-0.01312047,0.00711149,0.03072175,-0.02702025,-0.01205581,0.0196159,-0.06710298,0.0400632,0.02149051,-0.03465822,0.01725584,0.00940603,-0.02217457,0.01032954,0.007308707,-0.07679446,0.02103239,0.01175274,-0.04244226,0.002964377,0.01494665,-0.02667326,0.001127541,0.01117299,-0.07747217,-0.000658989,0.00923419,-0.01793724,-0.007151127,0.0361286,0.02466673,-0.001925528,0.01292698,-0.07324053,-0.02321404,0.009046182,0.001050353,-0.002509475,0.03215685,0.02004495,0.002795219,0.006756797,0.07921258,-0.03640527,0.01988044,0.01747552,0.03332227,0.00419715,-0.02382731,0.03180689,-0.01866339,-0.02321923,0.0179134,0.004159749,0.0743669,-0.05879062,0.03218764,0.02197421,0.04252428,0.0003328621,-0.0751673,0.03485996,-0.02041738,-0.01859745,0.01319265,0.01032993,42.8387,137.1613,71.00486,108.9951,113.9423,66.05772,53.34692,126.6531,62.48959
4,left,prune,8.59797E-06,-0.0007490516,-2.545118E-05,-0.009499297,0.01312131,0.02047443,-0.0134083,0.00613445,0.03080803,-0.02734745,-0.01249582,0.01887326,-0.06695603,0.03982735,0.02236974,-0.0346978,0.01691824,0.009862453,-0.02220574,0.01005018,0.007597998,-0.0767184,0.02126354,0.01183394,-0.04249632,0.00265646,0.01485083,-0.02670401,0.0008502603,0.01112406,-0.07755907,-0.0003109574,0.008494146,-0.01821151,-0.008366406,0.03572825,0.02461067,-0.002594948,0.01291712,-0.07352032,-0.02288008,0.007495485,0.000824362,-0.003714681,0.03204674,0.02004042,0.002381384,0.006927267,0.07874623,-0.03748983,0.01905027,0.0175609,0.03282559,0.005547434,-0.02344415,0.03259736,-0.01753764,-0.02307463,0.01791739,0.004680172,0.07360452,-0.06003582,0.03032553,0.02205917,0.04202551,0.002021372,-0.07475883,0.03604257,-0.0193307,-0.01850438,0.01294106,0.01067002,43.90756,136.0925,69.08855,110.9115,114.8827,65.11729,53.51624,126.4838,63.62162
5,left,prune,-0.000170067,-0.0007809997,8.235872E-05,-0.009545714,0.01266265,0.02073986,-0.01360095,0.005526066,0.0308387,-0.02753472,-0.01277691,0.01840687,-0.0669094,0.03953969,0.02301016,-0.035061,0.01602691,0.01006459,-0.02243018,0.009425104,0.007738411,-0.07669213,0.02127886,0.01197556,-0.04248804,0.002335906,0.01492805,-0.02667266,0.0005764961,0.0112164,-0.07760105,-0.0002038479,0.00810466,-0.01829827,-0.00917846,0.03548369,0.02462238,-0.002976596,0.0128119,-0.07364625,-0.02275801,0.006573692,0.0007260144,-0.004487395,0.03195002,0.02005237,0.00214678,0.006968975,0.07882375,-0.03737789,0.01850381,0.01720977,0.03195184,0.006171137,-0.02328086,0.03299707,-0.01668474,-0.02297908,0.01786309,0.005064636,0.0737192,-0.05957991,0.02917227,0.02145225,0.04080045,0.002693146,-0.0745759,0.03655016,-0.01828024,-0.01840907,0.01273972,0.01090756,44.53468,135.4653,67.86782,112.1322,115.4085,64.5915,53.73226,126.2677,64.42538
6,left,prune,-0.0003662854,-0.0008093119,0.0002008229,-0.009560317,0.01246625,0.02085182,-0.01370302,0.005329132,0.03082818,-0.02760422,-0.01288486,0.01822665,-0.06693965,0.03929299,0.02334237,-0.03579244,0.01444662,0.009880587,-0.02287629,0.008368731,0.007646546,-0.0767079,0.02114683,0.01210761,-0.04237998,0.001999378,0.01528005,-0.02654898,0.0003050566,0.01151645,-0.07761025,-0.0002946854,0.008012928,-0.01821798,-0.009550273,0.03542682,0.02469671,-0.00308001,0.01264332,-0.07365149,-0.02283138,0.006252512,0.0007362366,-0.004802525,0.03190394,0.02008164,0.002084494,0.006903127,0.07946876,-0.03594422,0.01845704,0.01635578,0.0305934,0.005835295,-0.02325964,0.03299117,-0.01605208,-0.02291298,0.01778895,0.005283296,0.07474083,-0.05719781,0.02903715,0.02002847,0.03865707,0.001965389,-0.07450533,0.03637624,-0.01717895,-0.01829791,0.01262444,0.01102349,44.73679,135.2632,67.37,112.63,115.5684,64.43158,53.888,126.112,64.7887
7,left,prune,-0.0003787875,-0.0007500052,0.000351429,-0.009588331,0.01246142,0.02084187,-0.01385602,0.005407572,0.03074601,-0.02775013,-0.01277411,0.01808241,-0.06691736,0.03941041,0.02320784,-0.03600246,0.01398176,0.00978598,-0.02300259,0.008047342,0.007612541,-0.07669377,0.02132368,0.01188473,-0.04213226,0.001700878,0.01598494,-0.0263193,6.890297E-05,0.01203574,-0.07763991,-0.0001034141,0.007724926,-0.01825833,-0.009597719,0.03539319,0.02473366,-0.003159583,0.01255105,-0.07373667,-0.02264583,0.005914167,0.0006045997,-0.004879236,0.03189506,0.02009764,0.002009511,0.006878689,0.07947546,-0.03552318,0.01859406,0.01590621,0.03036761,0.005124152,-0.02292779,0.03272569,-0.01524845,-0.02276617,0.01782393,0.005308896,0.07472792,-0.05634463,0.02906393,0.01922292,0.03834605,0.0007009506,-0.07398075,0.03595418,-0.01576376,-0.01813015,0.01265484,0.01098126,44.9219,135.0781,67.31765,112.6824,115.896,64.10397,53.73284,126.2672,64.86948
8,left,prune,-0.0003792644,-0.000580132,0.000128746,-0.00958389,0.01248115,0.02083209,-0.01401821,0.00552392,0.03065167,-0.02797106,-0.01255286,0.01789606,-0.06674773,0.03979671,0.02303658,-0.0360899,0.01380605,0.009713158,-0.02305809,0.007912993,0.007585362,-0.07659721,0.02182478,0.01159464,-0.04199141,0.001703501,0.0163511,-0.02617919,2.223253E-05,0.01233776,-0.0776757,0.0004214048,0.007345729,-0.01838338,-0.00959605,0.03532884,0.02474317,-0.003364265,0.01247886,-0.07392442,-0.02214104,0.005465075,0.0003929436,-0.004988372,0.03188147,0.0201146,0.001832187,0.006878674,0.07923552,-0.03559768,0.01873402,0.015751,0.03007448,0.004804,-0.02252954,0.03270292,-0.01472883,-0.02252761,0.01795477,0.005328029,0.07432255,-0.05606353,0.02904472,0.01887211,0.03796524,5.160272E-05,-0.07345191,0.03608942,-0.01486993,-0.01789904,0.01275831,0.01092821,45.39082,134.6092,67.21378,112.7862,116.3803,63.61974,53.31982,126.6802,64.81583
9,left,prune,-0.0002295226,-0.0001467466,9.760261E-05,-0.009550065,0.01252902,0.02081889,-0.01412994,0.005676985,0.0305723,-0.02815953,-0.01230782,0.01777017,-0.06654429,0.04021019,0.02290668,-0.03610489,0.01377207,0.009705633,-0.02306867,0.007876754,0.00759095,-0.07648072,0.02233839,0.01138335,-0.04194418,0.001880884,0.01645251,-0.02612361,9.942055E-05,0.01245455,-0.07769608,0.00095433,0.007074744,-0.01845345,-0.009543598,0.03530653,0.02477348,-0.003553808,0.01236565,-0.07409841,-0.02162927,0.005148269,0.0002120435,-0.005051076,0.03187331,0.02014041,0.001659214,0.006846935,0.07896918,-0.03577626,0.01877888,0.01577571,0.02976298,0.004776448,-0.02227536,0.03280854,-0.01454541,-0.02226317,0.01809108,0.005359694,0.07387832,-0.05596083,0.0289581,0.01883066,0.03754032,-8.715689E-05,-0.07317245,0.03646177,-0.01445651,-0.0176301,0.01287806,0.01087841,45.80755,134.1925,67.13661,112.8634,116.7673,63.23272,52.9433,127.0567,64.73009
