Frame,Hand,Label,handDeltaX,handDeltaY,handDeltaZ,thumb1X,thumb1Y,thumb1Z,thumb2X,thumb2Y,thumb2Z,thumb3X,thumb3Y,thumb3Z,index1X,index1Y,index1Z,index2X,index2Y,index2Z,index3X,index3Y,index3Z,middle1X,middle1Y,middle1Z,middle2X,middle2Y,middle2Z,middle3X,middle3Y,middle3Z,ring1X,ring1Y,ring1Z,ring2X,ring2Y,ring2Z,ring3X,ring3Y,ring3Z,pinky1X,pinky1Y,pinky1Z,pinky2X,pinky2Y,pinky2Z,pinky3X,pinky3Y,pinky3Z,second1X,second1Y,second1Z,second2X,second2Y,second2Z,second3X,second3Y,second3Z,second4X,second4Y,second4Z,third1X,third1Y,third1Z,third2X,third2Y,third2Z,third3X,third3Y,third3Z,third4X,third4Y,third4Z,wristUp,wristDown,palmDown,palmUp,palmTowardsFace,palmAwayFromFace,fingersUp,fingersDown,pinchClear
0,right,pick,0.01122639,0.003178954,0.01456904,-0.01815341,0.0135709,-0.01378168,-0.03041375,0.007190704,-0.01508552,-0.03481853,0.008040547,-0.004899025,-0.050032,0.06475687,0.009248883,-0.03961974,0.001464844,-0.008179292,-0.01465189,-0.01781392,-0.01187009,-0.05087222,0.05582821,0.03134668,-0.04212853,0.01765728,0.003565699,-0.02901381,0.001796246,-0.004430592,-0.05278803,0.03840995,0.04497355,-0.031367,0.02305675,0.0147287,-0.02652693,0.009618282,0.002877265,-0.05388673,0.01719224,0.05458125,-0.01874486,0.01613283,0.02152933,-0.01843306,0.006391287,0.009453535,0.04108459,-0.0454601,-0.02993679,0.003349006,-0.00726378,-0.03384279,-0.008845717,0.0120188,-0.02478987,-0.01152346,0.02814162,-0.01640834,0.02091795,-0.01960564,-0.02296573,0.01771092,-0.02687395,-0.04128228,-0.0113326,0.004196763,-0.03209773,-0.01961732,0.03136861,-0.02298461,66.84084,113.1592,56.25707,123.7429,106.915,73.08495,42.89067,137.1093,42.82244
1,right,pick,0.01412997,0.005547404,0.01053113,-0.01829867,0.01384699,-0.01330675,-0.03061555,0.007574797,-0.01447707,-0.03483751,0.008333325,-0.004229009,-0.04946834,0.06493652,0.0108774,-0.03974199,0.001759529,-0.007499978,-0.01493701,-0.01758921,-0.01184992,-0.04999992,0.05573785,0.03287376,-0.04199287,0.01778662,0.004420146,-0.02906922,0.001948118,-0.003980681,-0.05179945,0.03816259,0.04631364,-0.03101757,0.02301562,0.0155123,-0.02644518,0.00967741,0.00338608,-0.05287188,0.01683354,0.0556746,-0.01828301,0.01589751,0.0220941,-0.01825136,0.006316066,0.009848446,0.04029611,-0.04527426,-0.03116125,0.002782464,-0.006828427,-0.03391649,-0.009175777,0.01234627,-0.02453203,-0.01166213,0.02844715,-0.01594275,0.02039561,-0.01935172,-0.02354033,0.01691467,-0.02636576,-0.04178573,-0.01179981,0.004616976,-0.0318988,-0.01985595,0.0318085,-0.02240512,66.26982,113.7302,57.08929,122.9107,106.8663,73.13369,42.54239,137.4576,42.81693
2,right,pick,0.01562566,0.005944967,0.009141445,-0.01858982,0.01403439,-0.01269269,-0.03092703,0.007800221,-0.01367298,-0.03491318,0.008417487,-0.003345743,-0.04918629,0.06478071,0.01289834,-0.03989416,0.00184536,-0.006619588,-0.01518357,-0.01741517,-0.01179329,-0.049254,0.0552547,0.03476131,-0.04189891,0.01769304,0.005544707,-0.02914524,0.001960039,-0.003372312,-0.05077693,0.03748131,0.04797275,-0.03071347,0.0227493,0.01647994,-0.0263961,0.009564996,0.004027635,-0.05166215,0.01601505,0.05703513,-0.01784903,0.01549745,0.02272427,-0.01808366,0.006097794,0.01028559,0.0395636,-0.04479146,-0.03264442,0.002072453,-0.006321669,-0.03402726,-0.009662509,0.01271713,-0.02414668,-0.01197922,0.02871811,-0.01530671,0.01983398,-0.01895881,-0.02419688,0.01603413,-0.02569687,-0.04244824,-0.01241165,0.005112171,-0.03154662,-0.02029166,0.03218532,-0.02156466,65.46191,114.5381,57.66331,122.3367,106.8587,73.14129,42.62431,137.3757,43.305
3,right,pick,0.01626122,0.001637101,0.009646535,-0.01889062,0.01419938,-0.01204871,-0.03127685,0.008073449,-0.01268278,-0.03494096,0.008659124,-0.002264142,-0.04839814,0.06499326,0.0146862,-0.04005432,0.002138972,-0.005463213,-0.01563427,-0.01722729,-0.01147605,-0.04791653,0.05532253,0.03648031,-0.0416137,0.0179131,0.00683561,-0.02921569,0.002111077,-0.002577752,-0.04918264,0.03747118,0.04961357,-0.03015704,0.02278006,0.01743713,-0.02626491,0.009605646,0.004728079,-0.04995026,0.01595092,0.05855772,-0.01723488,0.01538086,0.02327093,-0.0178473,0.006050229,0.01071748,0.03828499,-0.04485941,-0.03395447,0.001077771,-0.006103396,-0.03409293,-0.01019055,0.0129844,-0.02373478,-0.01215455,0.02891946,-0.01477796,0.0189783,-0.01897299,-0.02474256,0.0146592,-0.02544177,-0.04299124,-0.01314133,0.005489826,-0.03104061,-0.02057216,0.03247488,-0.02076736,65.22784,114.7722,58.23637,121.7636,107.3985,72.6015,42.28492,137.7151,43.672
4,right,pick,0.01377168,0.0002629757,0.01137179,-0.01909702,0.01443028,-0.01143336,-0.03153887,0.008471608,-0.01173908,-0.03489658,0.009035945,-0.001248345,-0.04734556,0.06537187,0.01634349,-0.04015912,0.002596855,-0.004389897,-0.01612273,-0.0169673,-0.01118396,-0.04640898,0.05554724,0.03805383,-0.04122454,0.01830602,0.008045733,-0.0292511,0.002363443,-0.00185582,-0.04752271,0.03761971,0.05109675,-0.02951968,0.02292049,0.01832142,-0.02609695,0.009733796,0.005354255,-0.04828188,0.01604736,0.05991502,-0.01662725,0.01532042,0.02374801,-0.01761463,0.00606513,0.01108757,0.0368688,-0.04506683,-0.03512603,0.0001288354,-0.005884528,-0.03414597,-0.01059113,0.01331306,-0.02331862,-0.01213326,0.02917242,-0.01424485,0.01809494,-0.01906359,-0.02519041,0.01325721,-0.02521527,-0.04347411,-0.01374528,0.005942702,-0.03052869,-0.02061558,0.03284109,-0.01997817,64.89087,115.1091,59.07748,120.9225,107.9266,72.07342,41.79268,138.2073,43.94382
5,right,pick,0.01331231,0.0007023811,0.009311706,-0.0193388,0.01459062,-0.0108062,-0.03181028,0.008800745,-0.01072043,-0.03483124,0.00936687,-0.0001570284,-0.04629792,0.06572151,0.01787084,-0.04024103,0.002981067,-0.003247291,-0.01661631,-0.016752,-0.01077867,-0.04484694,0.05581045,0.0395135,-0.04079531,0.01867676,0.009285897,-0.02927358,0.002557158,-0.001085401,-0.04575671,0.03784609,0.05252156,-0.02882609,0.02308393,0.01919961,-0.02591154,0.009845734,0.006010205,-0.04646114,0.0162493,0.06128448,-0.01597317,0.0153085,0.02420035,-0.01735163,0.006092787,0.01148018,0.03538987,-0.04531121,-0.03615019,-0.0008967072,-0.005784631,-0.03417584,-0.01105945,0.0135572,-0.02292177,-0.0121485,0.02937222,-0.01376367,0.01717494,-0.01919234,-0.02552855,0.01176056,-0.02509379,-0.04386911,-0.01442149,0.00626862,-0.03001738,-0.02070841,0.03312516,-0.01923364,64.7739,115.2261,59.64004,120.36,108.6573,71.34268,41.3865,138.6135,44.35828
6,right,pick,0.01488203,0.00293076,0.009633213,-0.01966345,0.01473129,-0.009999424,-0.03211334,0.009025455,-0.009568155,-0.03479084,0.009455681,0.00108023,-0.04560214,0.06556618,0.02009249,-0.04030964,0.003129601,-0.002026916,-0.01699495,-0.01653862,-0.01051456,-0.04355505,0.05535531,0.04154676,-0.04042757,0.01867747,0.01077348,-0.02929012,0.002587199,-0.0002317429,-0.04413566,0.03721559,0.05432835,-0.02820924,0.02286112,0.02034801,-0.02573881,0.009758115,0.006838173,-0.04464191,0.01550174,0.06281132,-0.01537229,0.0149442,0.02480951,-0.01707958,0.005904078,0.01197603,0.03413498,-0.04493904,-0.03763315,-0.001929164,-0.005337,-0.03425467,-0.01163772,0.01395607,-0.02235612,-0.0123307,0.02963078,-0.01294446,0.01633909,-0.01894474,-0.02603836,0.01036601,-0.02446282,-0.04453748,-0.01518904,0.006785154,-0.02942604,-0.02098992,0.03348482,-0.01808232,64.06618,115.9338,60.05838,119.9416,109.0478,70.95216,41.57577,138.4242,45.18176
7,right,pick,0.01541662,0.003702998,0.008998632,-0.0199271,0.01492357,-0.009156674,-0.0323533,0.009291053,-0.00843893,-0.03471321,0.009521842,0.002303585,-0.04484546,0.0653013,0.02251247,-0.04033831,0.003299475,-0.000838995,-0.01734328,-0.01628125,-0.01034603,-0.04225041,0.0546937,0.04371354,-0.04002295,0.01861751,0.01228243,-0.02928159,0.002624512,0.0005980134,-0.04254018,0.03632426,0.05617291,-0.0275719,0.02254379,0.0215407,-0.02553928,0.009654641,0.007681131,-0.04288244,0.01445997,0.06426871,-0.01477885,0.01447475,0.02544045,-0.01679307,0.005677938,0.01247996,0.03290337,-0.04438615,-0.03926907,-0.002910405,-0.004710436,-0.0343225,-0.01216128,0.01444316,-0.02171764,-0.01245078,0.02993333,-0.01199555,0.01553345,-0.01858306,-0.02661946,0.009027898,-0.02361619,-0.04526654,-0.01590359,0.00741303,-0.02880076,-0.02119699,0.03391004,-0.01679438,63.10746,116.8925,60.64177,119.3582,109.3229,70.67712,41.83974,138.1603,46.03653
8,right,pick,0.01705839,0.003270388,0.006241053,-0.02013823,0.01510525,-0.008362591,-0.03255448,0.009564757,-0.007279962,-0.03456225,0.009672642,0.003587425,-0.04371906,0.06533957,0.02452716,-0.04032111,0.003568649,0.0004922748,-0.01775205,-0.01607752,-0.009964257,-0.04053227,0.05450869,0.04553375,-0.03947154,0.01875579,0.01376683,-0.02923828,0.002737403,0.001511842,-0.04054854,0.03601956,0.05781814,-0.02674669,0.02248669,0.02261403,-0.02526131,0.009683132,0.008518785,-0.0407745,0.01407897,0.06570911,-0.01399627,0.01427948,0.02598748,-0.01641017,0.005623221,0.01300311,0.03134747,-0.04423821,-0.04066199,-0.004036367,-0.004356265,-0.03428113,-0.01270857,0.01475823,-0.0211316,-0.01252446,0.03014779,-0.01126441,0.01453727,-0.01848805,-0.02711031,0.007449865,-0.02317119,-0.04575723,-0.01668555,0.0078125,-0.02813855,-0.0213756,0.0342077,-0.01574874,62.56923,117.4308,61.18229,118.8177,110.0798,69.92018,41.81759,138.1824,46.90012
9,right,pick,0.01669593,0.001490712,0.003693163,-0.02023651,0.01531684,-0.007715374,-0.03265935,0.009945989,-0.006222576,-0.03431571,0.01003826,0.004758477,-0.04218896,0.06582987,0.02585933,-0.04023997,0.004054189,0.001754612,-0.01823552,-0.01586032,-0.009424806,-0.03849073,0.05495119,0.04675704,-0.0387696,0.01924741,0.01502523,-0.02915266,0.003025532,0.002371937,-0.0383484,0.03645658,0.05903253,-0.02577213,0.02278721,0.02343029,-0.02491553,0.009924293,0.009229928,-0.03858952,0.01451576,0.0669224,-0.01315534,0.01439643,0.02635965,-0.01599953,0.005773902,0.01344141,0.02953307,-0.04462123,-0.04155189,-0.005168602,-0.004314542,-0.03416833,-0.0131398,0.01495481,-0.02068055,-0.01237567,0.03033161,-0.01081923,0.01345289,-0.01872265,-0.02736861,0.00574854,-0.02320039,-0.04596508,-0.01737693,0.008056045,-0.02753854,-0.02129167,0.034482,-0.01503071,62.57715,117.4229,61.78068,118.2193,111.0329,68.96709,41.30535,138.6947,47.31723
