Frame,Joint,PositionX,PositionY,PositionZ,Label,Hand
0,HandStart,0.1036716,0.908245,0.08885992,pick,left
0,HandThumb0,0.1245443,0.9226304,0.09854759,pick,left
0,HandThumb1,0.1456098,0.9380894,0.1031204,pick,left
0,HandThumb2,0.176168,0.9492233,0.1152245,pick,left
0,HandIndex1,0.1468744,0.9845486,0.1480419,pick,left
0,HandIndex2,0.180099,0.9924012,0.1697959,pick,left
0,HandMiddle1,0.1323328,0.9726772,0.1627507,pick,left
0,HandMiddle2,0.1570331,0.9944935,0.1945822,pick,left
0,HandRing1,0.1253484,0.9535308,0.1715479,pick,left
0,HandRing2,0.1353032,0.9769127,0.2045118,pick,left
0,HandPinky0,0.1109112,0.9115608,0.1331649,pick,left
0,HandPinky1,0.1210145,0.9311845,0.1766042,pick,left
0,HandPinky2,0.1189716,0.9455742,0.2059966,pick,left
0,HandThumb3,0.2026289,0.9597763,0.1373477,pick,left
0,HandIndex3,0.2004306,0.9763335,0.1709661,pick,left
0,HandMiddle3,0.1818274,0.9966965,0.2102362,pick,left
0,HandRing3,0.1557268,0.9838794,0.2229186,pick,left
0,HandPinky3,0.1315221,0.9491727,0.2233035,pick,left
1,HandStart,0.1036852,0.9082809,0.08885098,pick,left
1,HandThumb0,0.1245645,0.9226835,0.0984989,pick,left
1,HandThumb1,0.1456367,0.9381411,0.1030458,pick,left
1,HandThumb2,0.176199,0.9492882,0.1151273,pick,left
1,HandIndex1,0.1469306,0.984672,0.1478889,pick,left
1,HandIndex2,0.1801775,0.9925697,0.1695925,pick,left
1,HandMiddle1,0.132406,0.9728171,0.1626278,pick,left
1,HandMiddle2,0.1570583,0.9947281,0.1944315,pick,left
1,HandRing1,0.1254344,0.9536809,0.1714573,pick,left
1,HandRing2,0.1353471,0.9771032,0.2044053,pick,left
1,HandPinky0,0.1109679,0.9116571,0.1331443,pick,left
1,HandPinky1,0.1211101,0.9313405,0.1765475,pick,left
1,HandPinky2,0.1190085,0.9457049,0.2059481,pick,left
1,HandThumb3,0.2026719,0.9598733,0.1372208,pick,left
1,HandIndex3,0.2005166,0.9765121,0.1707691,pick,left
1,HandMiddle3,0.1818624,0.9969568,0.2100662,pick,left
1,HandRing3,0.1557949,0.9840686,0.2227857,pick,left
1,HandPinky3,0.1315395,0.9492924,0.2232715,pick,left
2,HandStart,0.1036941,0.9083494,0.08886659,pick,left
2,HandThumb0,0.1245759,0.922782,0.09846403,pick,left
2,HandThumb1,0.1456501,0.9382473,0.1029757,pick,left
2,HandThumb2,0.1762125,0.9494265,0.115027,pick,left
2,HandIndex1,0.1469621,0.9848737,0.1477151,pick,left
2,HandIndex2,0.1802317,0.9928268,0.1693635,pick,left
2,HandMiddle1,0.1324617,0.9730369,0.1624924,pick,left
2,HandMiddle2,0.1570571,0.9950662,0.1942585,pick,left
2,HandRing1,0.1255118,0.9539127,0.1713648,pick,left
2,HandRing2,0.135368,0.977398,0.2042849,pick,left
2,HandPinky0,0.1110261,0.9118106,0.1331452,pick,left
2,HandPinky1,0.1212068,0.931579,0.1765008,pick,left
2,HandPinky2,0.1190424,0.9459321,0.2059024,pick,left
2,HandThumb3,0.2026936,0.9600647,0.1370852,pick,left
2,HandIndex3,0.2005813,0.9767828,0.1705453,pick,left
2,HandMiddle3,0.1818689,0.9973421,0.2098743,pick,left
2,HandRing3,0.1558279,0.9843906,0.2226416,pick,left
2,HandPinky3,0.1315432,0.9495271,0.223246,pick,left
3,HandStart,0.1036792,0.9084,0.08900833,pick,left
3,HandThumb0,0.1245788,0.9228321,0.09856788,pick,left
3,HandThumb1,0.1456717,0.9382787,0.1030556,pick,left
3,HandThumb2,0.1762394,0.9494617,0.1150902,pick,left
3,HandIndex1,0.1470488,0.9849722,0.1477195,pick,left
3,HandIndex2,0.1803363,0.9929418,0.1693343,pick,left
3,HandMiddle1,0.1325552,0.9731629,0.1625254,pick,left
3,HandMiddle2,0.1571167,0.9952624,0.1942689,pick,left
3,HandRing1,0.1256022,0.9540541,0.1714285,pick,left
3,HandRing2,0.1354187,0.9775808,0.2043308,pick,left
3,HandPinky0,0.1110552,0.9119126,0.1332756,pick,left
3,HandPinky1,0.1212886,0.9317294,0.1765966,pick,left
3,HandPinky2,0.1190806,0.946067,0.2060025,pick,left
3,HandThumb3,0.2027353,0.9601296,0.1371162,pick,left
3,HandIndex3,0.2006817,0.976893,0.1705217,pick,left
3,HandMiddle3,0.1819294,0.9975618,0.2098798,pick,left
3,HandRing3,0.155878,0.9845873,0.2226828,pick,left
3,HandPinky3,0.1315479,0.9496539,0.2233719,pick,left
4,HandStart,0.1036205,0.9084857,0.08908218,pick,left
4,HandThumb0,0.1245356,0.9229144,0.09861289,pick,left
4,HandThumb1,0.1456469,0.9383407,0.1030836,pick,left
4,HandThumb2,0.1762145,0.9495295,0.115113,pick,left
4,HandIndex1,0.1470762,0.9851018,0.1476724,pick,left
4,HandIndex2,0.1803702,0.9930943,0.1692687,pick,left
4,HandMiddle1,0.1325807,0.9733229,0.1625006,pick,left
4,HandMiddle2,0.1571067,0.9954916,0.1942233,pick,left
4,HandRing1,0.1256174,0.954231,0.171432,pick,left
4,HandRing2,0.1353801,0.9778121,0.2043115,pick,left
4,HandPinky0,0.1110201,0.9120506,0.1333413,pick,left
4,HandPinky1,0.1212893,0.9319164,0.1766315,pick,left
4,HandPinky2,0.1190233,0.9462534,0.2060333,pick,left
4,HandThumb3,0.2027165,0.9602307,0.1371156,pick,left
4,HandIndex3,0.2007104,0.97704,0.1704744,pick,left
4,HandMiddle3,0.1819154,0.9978138,0.2098373,pick,left
4,HandRing3,0.1558329,0.9848368,0.2226637,pick,left
4,HandPinky3,0.1314618,0.9498343,0.2234245,pick,left
5,HandStart,0.1034832,0.9086941,0.08907884,pick,left
5,HandThumb0,0.124424,0.9230905,0.0986021,pick,left
5,HandThumb1,0.1455641,0.9384758,0.1030783,pick,left
5,HandThumb2,0.1761392,0.9496328,0.115118,pick,left
5,HandIndex1,0.1470794,0.9852335,0.1476649,pick,left
5,HandIndex2,0.180379,0.9932027,0.1692612,pick,left
5,HandMiddle1,0.1325748,0.9734718,0.1624978,pick,left
5,HandMiddle2,0.1570758,0.9956494,0.1942336,pick,left
5,HandRing1,0.1255887,0.9543878,0.1714282,pick,left
5,HandRing2,0.1353117,0.9779706,0.2043182,pick,left
5,HandPinky0,0.1109111,0.9122376,0.133335,pick,left
5,HandPinky1,0.1212314,0.9320782,0.1766245,pick,left
